Psy_Level,Sex,AgeGroup,Education,IncomeContinuity,HealthStatus,Unemployed,Student,SocialSupport_sum,Covid19_risk_sum,FinancialSituation_Change,Home_Trouble,Social_Restrictions,Protection_and_Life_Change,Worry_and_Fear
0,0,2,3,0,3,1,0,20,12,-3,1.8333333333333333,1.3333333333333333,1.75,1.3333333333333333
1,1,1,6,1,3,0,0,18,18,-2,2.5,2.6666666666666665,2.75,2.3333333333333335
0,0,3,3,1,2,0,0,18,18,-1,2.1666666666666665,2.0,2.75,2.0
1,1,2,6,0,2,0,0,12,13,1,2.0,2.3333333333333335,2.5,2.0
0,1,3,3,0,2,1,0,17,18,-1,2.6666666666666665,2.3333333333333335,2.0,2.0
1,1,3,6,1,2,0,0,15,23,-1,2.8333333333333335,3.3333333333333335,3.0,2.6666666666666665
0,1,4,3,1,2,0,0,20,18,0,2.0,2.0,2.25,2.3333333333333335
0,1,2,5,1,2,0,0,17,20,-1,2.0,2.0,2.0,2.0
0,0,1,6,1,3,0,0,20,6,-1,1.0,1.0,1.0,1.3333333333333333
0,0,2,6,1,1,0,0,25,14,-2,1.0,1.3333333333333333,2.25,1.0
0,0,2,4,1,3,0,0,16,18,-4,3.8333333333333335,4.0,3.0,3.6666666666666665
1,0,2,3,0,2,1,0,8,10,-2,1.8333333333333333,2.0,2.75,3.0
0,1,2,6,0,2,0,0,18,22,-2,1.5,1.3333333333333333,2.5,1.3333333333333333
0,1,4,4,1,1,0,0,18,18,0,2.5,2.3333333333333335,2.75,3.0
0,1,2,4,1,2,0,0,16,18,0,2.3333333333333335,2.3333333333333335,2.25,2.3333333333333335
0,0,2,5,1,2,0,0,13,17,-2,2.6666666666666665,2.0,2.0,3.0
1,1,4,3,1,1,0,0,24,24,-3,3.3333333333333335,2.0,4.0,3.6666666666666665
1,0,1,6,1,2,0,0,14,18,0,2.1666666666666665,2.0,2.5,2.0
0,0,3,3,1,2,0,0,19,12,-2,1.3333333333333333,1.3333333333333333,1.25,2.0
0,1,4,6,1,1,0,0,21,21,1,3.0,2.3333333333333335,3.0,2.3333333333333335
0,1,4,3,1,2,0,0,15,18,-1,2.5,2.6666666666666665,2.5,2.3333333333333335
1,0,1,6,0,2,1,0,20,15,-1,2.8333333333333335,2.0,3.0,2.3333333333333335
1,1,2,4,0,3,0,0,16,11,-3,2.0,2.0,2.5,2.6666666666666665
1,0,2,4,1,1,0,0,19,22,1,3.6666666666666665,3.0,3.5,3.3333333333333335
0,1,3,6,1,3,0,0,21,13,-2,2.3333333333333335,2.3333333333333335,2.5,2.3333333333333335
0,0,3,2,0,3,0,0,14,6,-1,2.6666666666666665,2.6666666666666665,2.5,2.6666666666666665
0,0,3,6,1,3,0,0,14,6,-3,3.1666666666666665,1.6666666666666667,3.0,2.0
0,0,4,6,1,1,0,0,18,18,-1,2.0,2.0,2.25,2.0
0,0,3,3,1,3,0,0,21,18,0,3.3333333333333335,1.6666666666666667,2.75,2.3333333333333335
0,0,4,3,1,3,1,0,25,16,0,2.0,2.0,2.25,2.0
0,1,3,3,0,3,0,0,16,18,-1,2.0,2.0,2.0,2.0
0,0,2,3,1,3,0,0,17,12,-3,2.6666666666666665,2.6666666666666665,2.75,2.6666666666666665
0,0,1,6,1,3,0,1,12,12,0,3.0,3.3333333333333335,3.25,3.3333333333333335
1,0,2,2,1,1,0,0,21,12,3,3.3333333333333335,3.0,3.0,3.0
0,0,3,3,1,2,0,0,22,24,0,2.6666666666666665,2.6666666666666665,2.5,2.0
1,0,1,3,0,3,0,0,14,17,-1,2.3333333333333335,2.6666666666666665,3.0,2.6666666666666665
0,1,2,5,1,3,0,0,16,15,-1,2.8333333333333335,1.3333333333333333,2.25,2.6666666666666665
1,0,4,2,1,1,0,0,22,26,1,3.1666666666666665,3.3333333333333335,3.25,2.6666666666666665
0,1,4,5,1,1,0,0,22,21,0,1.6666666666666667,1.6666666666666667,1.75,1.0
0,0,1,3,1,3,0,1,12,19,-1,3.1666666666666665,3.3333333333333335,3.5,3.0
0,0,2,2,0,1,0,0,16,19,4,3.0,3.0,2.75,3.0
1,0,2,3,1,3,0,0,18,18,-2,3.0,2.6666666666666665,3.75,4.0
1,0,1,6,1,3,0,0,15,18,-1,2.3333333333333335,2.6666666666666665,2.5,2.6666666666666665
0,0,2,6,1,3,0,0,20,18,-1,2.6666666666666665,1.6666666666666667,2.75,2.0
0,0,2,3,1,3,0,0,14,21,-3,2.1666666666666665,2.3333333333333335,3.0,3.0
0,0,4,6,1,2,0,0,8,6,-1,2.8333333333333335,3.0,2.5,2.6666666666666665
0,0,3,6,1,2,0,0,15,26,0,3.5,4.0,4.0,4.0
0,0,3,6,1,1,0,0,24,26,-1,2.0,1.6666666666666667,2.25,2.0
1,1,4,6,0,2,0,0,16,9,-1,3.3333333333333335,2.3333333333333335,2.75,2.0
0,0,3,2,1,2,0,0,18,17,1,2.3333333333333335,2.3333333333333335,2.25,2.0
0,1,4,3,1,3,0,0,11,22,0,3.0,2.3333333333333335,3.25,3.3333333333333335
1,0,4,6,1,1,0,0,14,23,-1,3.0,2.6666666666666665,3.5,3.0
0,0,1,6,1,1,0,0,25,16,-1,2.0,2.3333333333333335,2.0,1.6666666666666667
0,0,2,3,1,3,0,0,21,24,-3,1.8333333333333333,1.3333333333333333,1.75,1.3333333333333333
0,0,4,6,1,2,0,0,20,20,-2,3.1666666666666665,2.3333333333333335,2.75,2.6666666666666665
0,0,4,4,1,2,0,0,12,18,1,3.0,2.3333333333333335,2.75,2.3333333333333335
0,0,1,3,1,2,0,0,20,12,-3,3.0,2.3333333333333335,2.25,2.6666666666666665
1,1,4,3,1,2,0,0,16,18,0,2.8333333333333335,3.3333333333333335,2.75,2.3333333333333335
0,0,3,2,1,1,0,0,25,14,-3,2.0,2.0,1.75,1.3333333333333333
0,1,3,6,1,3,0,0,21,16,0,2.3333333333333335,2.0,2.5,2.0
0,1,2,6,0,3,1,0,19,19,-1,1.3333333333333333,2.3333333333333335,2.25,1.6666666666666667
0,1,2,4,1,2,0,0,20,18,-1,2.3333333333333335,1.6666666666666667,1.5,1.6666666666666667
0,1,4,6,1,1,0,0,12,22,-1,2.3333333333333335,2.3333333333333335,3.0,2.6666666666666665
0,0,4,3,1,1,0,0,15,24,1,3.0,2.6666666666666665,3.25,3.6666666666666665
0,1,1,5,1,3,0,0,10,18,-1,2.3333333333333335,3.0,2.75,2.3333333333333335
0,0,4,3,1,1,0,0,17,24,-1,3.5,3.3333333333333335,3.75,4.0
0,1,4,4,1,2,0,0,20,23,-1,2.6666666666666665,2.3333333333333335,3.75,2.6666666666666665
0,1,4,6,1,1,0,0,22,26,0,2.1666666666666665,1.6666666666666667,2.5,2.0
0,0,2,3,0,3,0,0,19,18,2,2.3333333333333335,2.6666666666666665,3.0,2.3333333333333335
0,0,3,3,1,2,0,0,15,18,-1,2.6666666666666665,2.3333333333333335,3.0,2.6666666666666665
0,1,3,6,1,2,0,0,16,21,0,1.8333333333333333,1.6666666666666667,1.75,2.3333333333333335
1,0,2,5,1,1,0,0,14,22,-1,2.6666666666666665,2.6666666666666665,3.0,3.3333333333333335
0,0,4,6,1,3,0,0,16,9,-3,1.8333333333333333,1.6666666666666667,1.75,2.3333333333333335
0,1,3,4,1,3,0,0,15,8,0,1.3333333333333333,1.6666666666666667,1.75,2.0
0,0,3,6,1,3,0,0,21,6,-3,1.5,1.3333333333333333,1.5,1.3333333333333333
0,0,3,6,1,3,0,0,20,9,-1,2.0,1.6666666666666667,1.5,1.3333333333333333
0,0,3,6,1,2,0,0,15,18,-1,3.1666666666666665,2.3333333333333335,3.5,2.3333333333333335
1,1,4,5,1,1,0,0,21,19,-1,2.5,2.0,3.0,2.6666666666666665
1,1,2,6,0,1,0,0,10,15,-2,2.5,2.3333333333333335,3.0,3.0
0,0,4,4,1,1,0,0,18,30,0,3.1666666666666665,2.3333333333333335,3.25,3.0
0,0,4,6,1,1,0,0,21,24,-1,2.8333333333333335,2.3333333333333335,2.75,2.3333333333333335
0,1,3,6,1,1,0,0,18,22,-2,2.5,1.6666666666666667,2.5,2.0
1,0,3,3,1,3,0,0,15,18,0,2.0,2.0,3.0,2.3333333333333335
0,1,2,6,1,3,0,0,16,20,-2,2.0,2.0,3.5,1.3333333333333333
1,1,4,4,1,1,0,0,22,27,1,2.5,1.3333333333333333,3.25,2.6666666666666665
0,1,3,4,1,3,0,0,11,19,0,1.8333333333333333,1.6666666666666667,2.5,2.3333333333333335
1,1,3,4,1,1,0,0,17,23,-1,3.0,3.3333333333333335,3.5,3.0
0,1,4,3,1,3,0,0,18,12,-1,3.1666666666666665,1.6666666666666667,2.5,3.3333333333333335
0,1,4,4,1,2,0,0,11,13,0,2.8333333333333335,1.3333333333333333,2.5,2.3333333333333335
1,0,3,6,0,3,0,0,21,26,-2,3.0,4.0,3.25,2.6666666666666665
0,0,2,3,1,3,1,0,15,13,-3,2.8333333333333335,3.0,3.0,3.0
0,0,4,3,1,1,0,0,12,23,0,2.6666666666666665,2.0,2.5,3.0
0,1,4,3,1,3,0,0,20,17,0,3.0,2.6666666666666665,3.0,2.6666666666666665
0,1,4,3,1,2,0,0,25,12,-2,3.0,2.6666666666666665,3.5,3.6666666666666665
0,1,3,6,1,3,0,0,20,17,-2,2.0,2.0,2.25,2.3333333333333335
1,0,2,5,1,3,0,0,15,16,-3,2.8333333333333335,2.3333333333333335,2.25,2.6666666666666665
0,0,2,4,0,3,1,0,16,6,1,1.0,1.6666666666666667,1.25,1.6666666666666667
0,1,4,3,1,1,0,0,23,25,-1,3.3333333333333335,1.6666666666666667,2.75,1.6666666666666667
0,1,3,3,0,3,1,0,21,17,-2,2.3333333333333335,2.3333333333333335,2.75,2.6666666666666665
0,0,3,3,1,3,0,0,19,21,0,3.0,2.0,3.0,2.3333333333333335
0,1,3,2,0,3,0,0,25,18,-3,2.6666666666666665,1.6666666666666667,3.0,2.3333333333333335
0,1,3,6,1,2,0,0,19,23,0,2.8333333333333335,2.3333333333333335,3.0,2.6666666666666665
0,0,3,6,1,2,0,0,16,20,0,2.3333333333333335,2.3333333333333335,2.75,2.0
0,0,4,2,1,1,0,0,14,21,1,3.5,2.3333333333333335,2.75,3.6666666666666665
0,0,4,3,1,3,0,0,18,18,0,1.8333333333333333,2.0,2.0,2.0
0,1,3,6,1,3,0,0,18,22,-3,2.1666666666666665,2.3333333333333335,2.75,2.0
0,0,4,6,1,1,0,0,12,24,3,2.1666666666666665,3.3333333333333335,2.25,2.0
1,0,4,6,1,3,0,0,22,30,0,3.3333333333333335,3.3333333333333335,3.5,3.3333333333333335
0,1,4,3,1,1,0,0,18,20,0,2.1666666666666665,2.0,2.5,2.0
0,1,4,3,1,2,0,0,21,18,-2,2.5,2.6666666666666665,2.5,2.3333333333333335
0,0,3,3,0,2,0,0,18,20,-1,3.3333333333333335,2.6666666666666665,3.0,3.0
0,0,4,3,1,1,0,0,15,18,-1,2.3333333333333335,2.6666666666666665,2.75,2.6666666666666665
0,0,2,3,0,3,0,0,24,12,-1,2.8333333333333335,2.3333333333333335,2.0,2.6666666666666665
0,1,2,6,0,2,1,0,17,20,0,3.3333333333333335,2.0,3.25,2.6666666666666665
0,0,3,6,1,3,0,0,16,6,1,1.0,2.0,1.75,2.0
0,1,3,3,1,2,0,0,23,18,-1,2.1666666666666665,2.0,2.75,2.0
0,0,2,6,0,3,0,0,13,12,-2,2.5,2.6666666666666665,2.75,2.6666666666666665
0,1,3,3,1,1,0,0,14,22,-1,2.6666666666666665,2.0,3.0,3.6666666666666665
0,0,3,3,0,2,0,0,18,18,-1,2.0,2.0,2.0,2.0
0,0,2,6,1,2,0,0,25,24,0,2.0,3.3333333333333335,3.0,2.3333333333333335
